q1	赫胥黎独处一室之中，在英伦之南，背山而面野，槛外诸境，历历如在几下。
q2	物竞者，物争自存也。以一物以与物物争，或存或亡，而其效则归于大择。天择者，物争焉而独存。
q3	斯宾塞尔曰：“天择者，存其最宜者也。”夫物既争存矣，而天又从其争之后而择之，一争一择，而变化之事出矣。
q4	译事三难：信、达、雅。求其信已大难矣，顾信矣不达，虽译犹不译也，则达尚焉。
q5	物竞、天择、储能、效实诸名，皆由我始。一名之立，旬月踟蹰。我罪我知，是存明哲。
q6	以为天不可独任，要贵以人持天。以人持天，必究极乎天赋之能，使人治日即乎新，而后其国永存，而种族赖以不坠，是之谓与天争胜。
q7	今者欲治道之有功，非与天争胜焉，固不可也。法天行者非也，而避天行者亦非。
q8	风气渐通，士知弇陋为耻。西学之事，问涂日多。
q9	伟哉科学!五洲政治之变，基于此矣。
q10	物竞、天择二义，发于英人达尔文。达著《物种由来》一书，以考论世间动植种类［①］所以繁殊之故。
q11	强者后亡，弱者先绝。
q12	则天道变化，不主故常是已
p01	赫胥黎独处一室之中，在英伦之南，背山而面野，槛外诸境，历历如在几下
p02	自递嬗之变迁，而得当境之适遇，其来无始，其去无终，曼衍连延，层见迭代，此之谓世变，此之谓运会
p03	号物之数曰万，此无虑之言也，物固奚翅万哉!而人与居一焉
p04	前之所言，率取譬于天然之物
p05	难者曰：信斯占也，人治天行，同为天演矣
p06	天行人治，常相毁而不相成固矣
p07	天演之说，若更以垦荒之事喻之，其理将愈明而易见
p08	又设此数十百民之内，而有首出庶物之一人，其聪明智虑之出于人人，犹常人之出于牛羊犬马，幸而为众所推服，立之以为君
p09	虽然，假真有如是之一日，而必谓其盛可长保，则又不然之说也
p10	天演家用择种留良之术于树艺牧畜间，而繁硕茁壮之效，若戾在契致也
p11	故首出庶物之神人既已杳不可得，则所谓择种之术不可行
p12	人之有群，其始亦动于天机之自然乎？其亦天之所设，而非人之所为乎？群肇于家，其始不过夫妇父子之合，合久而系联益固
p13	自营甚者必侈于自由，自由侈则侵，侵则争，争则群涣，群涣则人道所恃以为存者去
p14	群之所以不涣，由人心之有天良
p15	右十四篇，皆诠天演之义，得一一复按之
p16	前论谓治化进则物竞不行固矣，然此特天行之物竞耳
p17	今之竞于人群者，非争所谓富贵优厚也耶？战而胜者在上位，持粱啮肥，驱坚策骄，而役使夫其群之众；不胜者居下流，其尤病者
p18	前言园夫之治园也，有二事焉：一曰设其宜境，以遂群生；二曰芸其恶种，使善者传
p19	道每下而愈况，虽在至微，尽其性而万物之性尽，穷其理而万物之理穷，在善用吾知而已矣，安用骛远穷高，然后为大乎？柏庚首为此言
p20	大地抟抟，诸教杂糅
p21	大抵未有文字之先，草昧敦庞，多为游猎之世
p22	欲知神道设教之所由兴，必自知刑赏施报之公始
p23	今夫刑当罪而赏当功者，王者所称天而行者也
p24	天道难知既如此矣
p25	理有发自古初，而历久弥明者，其种姓之说乎？先民有云：子孙者，祖父之分身也
p26	考竺乾初法，与挽近斐洛苏非译言爱智所明，不相悬异
p27	迨乔答摩肇兴天竺，乔答摩或作骄昙弥，或作俱谭，或作瞿昙，一音之转
p28	夫云一切世间，人天地狱，所有神魔人畜，皆在法轮中转，生死起灭，无有穷期，此固婆罗门之旧说
p29	今若舍印度而渐迤以西，则有希腊、犹大、义大利诸国，当姬汉之际，迭为声明文物之邦
p30	自来学术相承，每有发端甚微，而经历数传，事效遂钜者，如斯多噶创为上帝宰物之言是已
p31	吾尝取斯多噶之教，与乔答摩之教，较而论之，则乔答摩悲天闵人，不见世间之真美；而斯多噶乐天任运，不睹人世之足悲
p32	天演之学，发端于额拉吉来图，而中兴于斯多噶
p33	意者四千余年之人心不相远乎？学术如废河然，方其废也，介然两厓之间，浩浩平沙，莽莽黄芦而止耳
p34	本天演言治者，知人心之有善种，而忘其有恶根，如前论矣，然其蔽不止此，请更论之
p35	今夫以公义断私恩者，古今之通法也；民赋其力以供国者，帝王制治之同符也；犯一群之常典者，群之人得共诛之，此又有众者之公约也
q13	天择者，择于自然，虽择而莫之择，犹物竞之无所争，而实天下之至争也。
q14	求其信已大难矣
q15	虽译犹不译也，则达尚焉。
